category,years,name,position
Postdoctoral & PhD Mentees,2012-13,"Lucile Couronné, MD","Attending Physician, Necker Hospital, Paris"
Postdoctoral & PhD Mentees,2011-14,"Mi-Yeon Kim, PhD","Researcher, Chonnam National University, South Korea"
Postdoctoral & PhD Mentees,2012-17,"Ana da Silva Almeida, PhD","Senior Scientist, Biogen"
Postdoctoral & PhD Mentees,2014-22,"Jose Rodriguez Cortes, PhD","Senior Scientist, Regeneron"
Postdoctoral & PhD Mentees,2020-22,"Robert Albero Gallego, PhD","Ramón y Cajal Researcher, IDIBAPS-Hospital Clínic, Barcelona"
Postdoctoral & PhD Mentees,2022,"Mayukh Biswas, PhD","Assistant Professor, Presidency University, Kolkata"
Postdoctoral & PhD Mentees,2022,"Jessie A. Brown, PhD","Manager, Regeneron Genetics Center"
Postdoctoral & PhD Mentees,2022,"Silvia Alvarez Nanez, PhD","Manager, Regeneron Genetics Center"
Postdoctoral & PhD Mentees,2022-23,"Clara Reglero, PhD","Marie Curie Postdoctoral Fellow, CNIO, Madrid"
Postdoctoral & PhD Mentees,2022-26,"Koen Debackere, MD, PhD","Attending Physician & PI, University of Leuven, Belgium"
Clinical Fellows,2017,"Christina C. Patrone, MD","Dermatologist, Premier Dermatology, NJ"
Clinical Fellows,2018-19,"Yuhan (David) Gu","Resident, University of Pittsburgh Medical Center"
Clinical Fellows,2020-24,"Wen-Hsuan Lin, MD, PhD","Assistant Professor, Duke University"
Graduate & Predoctoral Trainees,2015-19,"Christine S. Kim, MD, PhD","Resident, NYU Tisch Medical Center"
Graduate & Predoctoral Trainees,2018,"Kate Eunah Lee","Resident, Duke University"
Graduate & Predoctoral Trainees,2019-24,"Bobby Shih","Postdoctoral Researcher, UCSF"
Graduate & Predoctoral Trainees,2022-24,"Kalay Bertulfo","Postdoctoral Researcher, NYU"
Graduate & Predoctoral Trainees,2020,"Matteo Fields","Visiting student, University of Milano, Italy"
Graduate & Predoctoral Trainees,2022,"Cristina Hernandez Bunuel","PhD Student, Vall d'Hebron Institute of Oncology, Barcelona"
Graduate & Predoctoral Trainees,2025-,"Andrew Cao","MSN Student, Columbia School of Nursing"
Graduate & Predoctoral Trainees,2025-26,"Joshua Kent","Visiting medical student, University at Buffalo · ASH Awardee"
Research Technicians,2009-13,"Maddalena Allegretta","General Rheumatologist, Rutgers New Jersey Medical School"
Research Technicians,2009-11,"Effie Tzilianos","Retired"
Research Technicians,2009-10,"Diana Shih","Field Application Specialist, Life Technologies, Taiwan"
Research Technicians,2017-22,"Adam Mackey","Program Manager, NewYork-Presbyterian Brooklyn Methodist"
Research Technicians,2017-20,"Anisha Cooke","Equity Research Associate, Chardan"
Research Technicians,2021-25,"Hannah Miller","Program Coordinator, Pershing Square Foundation"
Research Technicians,2022-25,"Cindy Li","Environmental Health & Safety Officer, Columbia University"
Undergraduate & Visiting Students,2023,"Haruka Suwabe","Johns Hopkins University"
Undergraduate & Visiting Students,2024,"Peter Gavaris","University of Massachusetts Amherst"
Undergraduate & Visiting Students,2024,"Zahava K.","High school researcher"
Undergraduate & Visiting Students,2023,"Lubaba L.","High school researcher"
Undergraduate & Visiting Students,2025,"Gabriela F.","High school researcher"
Undergraduate & Visiting Students,2025,"Ainhoa Xaumier","Medical Student, University of Toulouse, France"
